Source,Image Name,Expected,Average Prediction,MAPE,Worst,,,,Best,,,
Magnesium Dataset,am70_5p0_f_e_1582,127,126.487341772152,0.405303977983492,,,,,,,,
Magnesium Dataset,am50_5p0_1771,109,109.465625,0.425361843044337,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1575,127,127.623188405797,0.488303429479895,,,,,,,,
Magnesium Dataset,am50_5p0_1785,109,109.538235294118,0.491367505303004,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-C,896,900.50625,0.500412962153236,,,,,,,,
Magnesium Dataset,am50_5p0_1777,109,108.417582417582,0.537198459355357,,,,,,,,
Magnesium Dataset,am50_5p0_1790,109,109.614583333333,0.560676613133133,,,,,,,,
ASM Dataset,N07750 HTA-2,655,658.779220779221,0.573670307140316,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-250x,896,901.174418604651,0.574186139533679,,,,,,,,
Magnesium Dataset,am70_2p5_f_1613,127,126.272727272727,0.57595392368611,,,,,,,,
Magnesium Dataset,am60_2p5_1671,120,120.729166666667,0.603968938740297,,,,,,,,
Magnesium Dataset,am40_5p0_1699,107,107.655882352941,0.609239679807666,,,,,,,,
Magnesium Dataset,am50_5p0_1795,109,109.716911764706,0.653419562376438,,,,,,,,
Magnesium Dataset,am40_2p5_1765,107,107.71130952381,0.660385178635567,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-D,896,889.689759036145,0.709263077355383,,,,,,,,
Magnesium Dataset,am70_2p5_f_1614,127,126.073863636364,0.734598224345393,,,,,,,,
ASM Dataset,1060 Hot Rolled-1,400,402.990625,0.742107834394416,,,,,,,,
Magnesium Dataset,am60_5p0_1639,120,119.114457831325,0.743438021544534,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1579,127,126.052469135802,0.751695600009795,,,,,,,,
Magnesium Dataset,am40_5p0_1714,107,107.836666666667,0.77586473370221,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1585,127,126.006756756757,0.788246018553273,,,,,,,,
ASM Dataset,A356-0-1,83,82.3125,0.835231586940015,,,,,,,,
ASM Dataset,410 Tempered at 453c-1,920,927.876666666667,0.848891555271354,,,,,,,,
ASM Dataset,316 Annealed-1,230,231.99025974026,0.857906595944189,,,,,,,,
Magnesium Dataset,am50_5p0_1774,109,109.966216216216,0.878648233486938,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1628,120,121.087209302326,0.897872953377822,,,,,,,,
Magnesium Dataset,am60_2p5_1658,120,121.088709677419,0.899100899100903,,,,,,,,
Magnesium Dataset,am60_2p5_1665,120,121.089285714286,0.899572334463938,,,,,,,,
Magnesium Dataset,am60_2p5_1663,120,121.165322580645,0.961762454657398,,,,,,,,
ASM Dataset,431 Annealed-1,655,648.568421052632,0.991657740123993,,,,,,,,
Magnesium Dataset,am40_2p5_1761,107,108.102564102564,1.01992409867173,,,,,,,,
Magnesium Dataset,am70_2p5_f_1607,127,125.70253164557,1.03217360656563,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-500x-A,896,905.4625,1.04504604000718,,,,,,,,
Magnesium Dataset,am70_2p5_f_1615,127,125.685185185185,1.04611757772211,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-A,896,905.563157894737,1.05604538031001,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1581,127,125.661290322581,1.0653317930946,,,,,,,,
Magnesium Dataset,am40_2p5_1755,107,105.84328358209,1.09285764647818,,,,,,,,
Magnesium Dataset,am40_2p5_1757,107,108.182692307692,1.09323615678606,,,,,,,,
Magnesium Dataset,am40_2p5_1758,107,105.815340909091,1.11955325261095,,,,,,,,
Magnesium Dataset,am50_5p0_1789,109,110.237704918033,1.12276005650978,,,,,,,,
Magnesium Dataset,am70_2p5_f_1601,127,128.4453125,1.12523569125966,,,,,,,,
Magnesium Dataset,am70_2p5_f_1619,127,128.473684210526,1.14707087259321,,,,,,,,
Magnesium Dataset,am50_2p5_1807,109,110.307926829268,1.18570520438905,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-500x-C,896,906.792168674699,1.19014797960506,,,,,,,,
Magnesium Dataset,am70_2p5_f_1620,127,128.565476190476,1.21764896522988,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1573,127,125.433823529412,1.24860777302304,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-2000x,896,907.467948717949,1.2637304418465,,,,,,,,
ASM Dataset,D3 QT-1,1550,1530.55487804878,1.27046225065834,,,,,,,,
Magnesium Dataset,am50_2p5_1829,109,107.597402597403,1.30356065178033,,,,,,,,
Magnesium Dataset,am70_2p5_f_1593,127,125.296052631579,1.35993699133631,,,,,,,,
Magnesium Dataset,am60_5p0_1657,120,121.657534246575,1.36245918252449,,,,,,,,
Magnesium Dataset,am50_2p5_1810,109,107.476470588235,1.41754693229709,,,,,,,,
Magnesium Dataset,am40_2p5_1760,107,105.5,1.4218009478673,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1577,127,125.205479452055,1.43326039387309,,,,,,,,
Magnesium Dataset,am40_5p0_1713,107,108.573529411765,1.44927536231884,,,,,,,,
ASM Dataset,ASTM A517 Grade B QT-1,655,664.652173913044,1.4522142997318,,,,,,,,
Magnesium Dataset,am50_2p5_1825,109,107.418604651163,1.4721801255683,,,,,,,,
ASM Dataset,ASTM A537 Grade A Normalized-2,330,325.02,1.53221340225217,,,,,,,,
Magnesium Dataset,am60_2p5_1672,120,118.1875,1.53358011634056,,,,,,,,
Magnesium Dataset,am50_5p0_1796,109,110.698412698413,1.53427014625753,,,,,,,,
Magnesium Dataset,am70_2p5_f_1611,127,129.012987012987,1.56029796657943,,,,,,,,
Magnesium Dataset,am40_2p5_1762,107,108.721014492754,1.58296397507248,,,,,,,,
Magnesium Dataset,am60_2p5_1674,120,118.111445783133,1.59895952872772,,,,,,,,
Magnesium Dataset,am50_2p5_1828,109,110.777472527473,1.60454331274955,,,,,,,,
ASM Dataset,316 Annealed-5,230,226.302777777778,1.63375026083541,,,,,,,,
Magnesium Dataset,am70_2p5_f_1608,127,124.953804347826,1.63756170758758,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-E,896,881.461267605634,1.64938981764436,,,,,,,,
Magnesium Dataset,am70_2p5_f_1606,127,129.149390243902,1.66426666037157,,,,,,,,
Magnesium Dataset,am50_5p0_1772,109,107.16875,1.70875371785152,,,,,,,,
Magnesium Dataset,am60_5p0_1642,120,117.967948717949,1.72254523718959,,,,,,,,
Magnesium Dataset,am40_5p0_1692,107,105.166666666667,1.74326465927099,,,,,,,,
ASM Dataset,7050 T73652-2,455,463.164772727273,1.76282247874677,,,,,,,,
ASM Dataset,R56320 CWSR-1,724,711.384920634921,1.77331273114705,,,,,,,,
Magnesium Dataset,am70_2p5_f_1604,127,124.785714285714,1.77447052089295,,,,,,,,
Magnesium Dataset,am60_2p5_1677,120,117.873417721519,1.8041237113402,,,,,,,,
Magnesium Dataset,am60_5p0_1645,120,117.867283950617,1.80942156118254,,,,,,,,
Magnesium Dataset,am50_5p0_1782,109,107.016025641026,1.85390398035282,,,,,,,,
Magnesium Dataset,am50_2p5_1804,109,111.1171875,1.90536455037615,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1632,120,117.720779220779,1.93612444150257,,,,,,,,
Magnesium Dataset,am60_5p0_1650,120,117.717261904762,1.93917022728997,,,,,,,,
ASM Dataset,R54620-2,910,928.089506172839,1.94911224106338,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1565,127,124.522988505747,1.98920016615129,,,,,,,,
Magnesium Dataset,am40_2p5_1722,107,104.89010989011,2.01152435830278,,,,,,,,
ASM Dataset,C26000 A-4,140,142.886904761905,2.0204124140804,,,,,,,,
Magnesium Dataset,am60_5p0_1646,120,122.487341772152,2.030692915827,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1580,127,129.638888888889,2.03556888793657,,,,,,,,
Magnesium Dataset,am70_5p0_f_1556,127,129.641891891892,2.03783811956013,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1569,127,129.644927536232,2.04013190989883,,,,,,,,
Magnesium Dataset,am50_2p5_1814,109,111.275735294118,2.04513166154558,,,,,,,,
ASM Dataset,R30075 HIP-1,840,823.105633802817,2.05251495110411,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1568,127,129.668269230769,2.05776574839642,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1629,120,117.570588235294,2.06634312302996,,,,,,,,
Magnesium Dataset,am40_2p5_1754,107,109.259036144578,2.06759662568231,,,,,,,,
Magnesium Dataset,am50_2p5_1824,109,111.328571428571,2.09162068523033,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1630,120,117.534810126582,2.09741256293584,,,,,,,,
Magnesium Dataset,am60_2p5_1682,120,117.503012048193,2.12504165491784,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1567,127,129.759146341463,2.12635981297431,,,,,,,,
Magnesium Dataset,am40_2p5_1768,107,109.346666666667,2.14607974637239,,,,,,,,
Magnesium Dataset,am40_5p0_1698,107,109.372159090909,2.16888750357152,,,,,,,,
ASM Dataset,304 Annealed-2,230,235.111940298507,2.17425805427709,,,,,,,,
ASM Dataset,A357-0-T61-1,250,244.679487179487,2.17448257794079,,,,,,,,
Magnesium Dataset,am40_2p5_1724,107,104.72256097561,2.17473580016886,,,,,,,,
Magnesium Dataset,am70_2p5_f_1595,127,124.255102040816,2.20908269688758,,,,,,,,
Magnesium Dataset,am70_2p5_f_1617,127,124.235915492958,2.22486749992915,,,,,,,,
Magnesium Dataset,am70_2p5_f_1618,127,124.224137931034,2.23455933379598,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-B,896,916.534482758621,2.24044846592299,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1588,127,124.206666666667,2.24893993881166,,,,,,,,
Magnesium Dataset,am40_5p0_1696,107,109.479166666667,2.26450999048526,,,,,,,,
Magnesium Dataset,am40_5p0_1691,107,109.527108433735,2.30729037758161,,,,,,,,
ASM Dataset,2014-T4-2,290,296.971875,2.34765497574476,,,,,,,,
Magnesium Dataset,am70_2p5_f_1600,127,130.067857142857,2.35865894176117,,,,,,,,
Magnesium Dataset,am60_2p5_1670,120,117.188271604938,2.39932576575628,,,,,,,,
Magnesium Dataset,am50_5p0_1797,109,111.688172043011,2.40685472224896,,,,,,,,
ASM Dataset,A10 Annealed-1,470,481.712765957447,2.43148340363508,,,,,,,,
Magnesium Dataset,am40_5p0_1720,107,109.688271604938,2.45082866709811,,,,,,,,
ASM Dataset,ASTM A36 As Rolled-1,250,256.296296296296,2.45664739884393,,,,,,,,
Magnesium Dataset,am60_2p5_1681,120,117.099315068493,2.47711519901734,,,,,,,,
ASM Dataset,C86300-8,460,448.70625,2.51695847784603,,,,,,,,
Magnesium Dataset,am50_2p5_1820,109,111.837837837838,2.53745770903818,,,,,,,,
ASM Dataset,ZK60A T5 Forged-1,215,220.676966292135,2.57252326217844,,,,,,,,
Magnesium Dataset,am50_2p5_1801,109,106.26582278481,2.57296009529482,,,,,,,,
Magnesium Dataset,am70_2p5_f_1612,127,123.803797468354,2.58166760390573,,,,,,,,
ASM Dataset,17-7 PH Annealed-1,430,419.175,2.5824536291525,,,,,,,,
Magnesium Dataset,am50_2p5_1813,109,111.905405405405,2.59630479410699,,,,,,,,
Magnesium Dataset,am50_5p0_1786,109,106.22256097561,2.61473551275796,,,,,,,,
Magnesium Dataset,am50_5p0_1788,109,111.931818181818,2.61928934010153,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1586,127,123.727848101266,2.64463655429945,,,,,,,,
Magnesium Dataset,am40_2p5_1764,107,110.019480519481,2.74449625213953,,,,,,,,
Magnesium Dataset,am50_5p0_1794,109,112.13202247191,2.79315614118591,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-C,896,922.307065217391,2.85231092870253,,,,,,,,
ASM Dataset,N07750 HTA-1,655,636.539772727273,2.90009015361819,,,,,,,,
Magnesium Dataset,am40_5p0_1694,107,110.218023255814,2.91968877752868,,,,,,,,
ASM Dataset,CA15 Tempered at 1200F-3,690,711.104166666667,2.9678024199455,,,,,,,,
ASM Dataset,R54620 HT-1,895,922.961956521739,3.02958928308553,,,,,,,,
ASM Dataset,R54620-6,910,883.200657894737,3.03434353968259,,,,,,,,
Magnesium Dataset,am60_2p5_1669,120,116.463888888889,3.03622963722661,,,,,,,,
ASM Dataset,R56400 Plate A-1,828,803.496753246753,3.04957632426448,,,,,,,,
ASM Dataset,304 Quarter Hard-1,515,499.675925925926,3.06680255721301,,,,,,,,
ASM Dataset,R54810 HT-2,1070,1037.92391304348,3.09040831928285,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1574,127,123.160714285714,3.11729737567058,,,,,,,,
Magnesium Dataset,am40_2p5_1752,107,110.44623655914,3.12028428175048,,,,,,,,
Magnesium Dataset,am40_5p0_1693,107,110.481382978723,3.1511037288462,,,,,,,,
Magnesium Dataset,am50_5p0_1798,109,105.660447761194,3.16064554861037,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1625,120,116.307692307692,3.17460317460318,,,,,,,,
Magnesium Dataset,am40_2p5_1751,107,110.513513513514,3.17926143311323,,,,,,,,
Magnesium Dataset,am70_2p5_f_1591,127,123.077380952381,3.18711611935968,,,,,,,,
ASM Dataset,R56400 A-2,830,857.327160493827,3.18748334977355,,,,,,,,
Magnesium Dataset,am50_5p0_1770,109,112.594155844156,3.19213356786528,,,,,,,,
Magnesium Dataset,am50_5p0_1800,109,105.617816091954,3.20228540334648,,,,,,,,
ASM Dataset,ZK60A T5-1,230,222.837078651685,3.2144207739821,,,,,,,,
Magnesium Dataset,am70_2p5_f_1597,127,123.033898305085,3.22358451577352,,,,,,,,
Magnesium Dataset,am60_2p5_1662,120,116.234126984127,3.23990304189,,,,,,,,
ASM Dataset,C95400 as Cast-1,240,232.351265822785,3.29188401454586,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1576,127,131.34328358209,3.30681818181818,,,,,,,,
ASM Dataset,1015 Normalized-1,325,314.513157894737,3.33430950089948,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,896,927.103448275862,3.35490589898088,,,,,,,,
Magnesium Dataset,am70_5p0_f_1558,127,122.864197530864,3.36615755627009,,,,,,,,
Magnesium Dataset,am50_2p5_1816,109,112.80303030303,3.37139019476158,,,,,,,,
ASM Dataset,6151 T6-1,295,285.350609756098,3.38159089694962,,,,,,,,
ASM Dataset,R50400 A-1,340,351.925324675325,3.38859520448738,,,,,,,,
Magnesium Dataset,am60_2p5_1678,120,116.03125,3.42041475895502,,,,,,,,
Magnesium Dataset,am40_5p0_1695,107,103.453488372093,3.42812183882208,,,,,,,,
Magnesium Dataset,am50_2p5_1830,109,112.870689655172,3.42931337355839,,,,,,,,
Magnesium Dataset,am50_5p0_1783,109,105.352409638554,3.46227520942333,,,,,,,,
Magnesium Dataset,am60_5p0_1655,120,115.983552631579,3.46294563090275,,,,,,,,
Magnesium Dataset,am50_2p5_1805,109,112.935897435897,3.48507208536723,,,,,,,,
Magnesium Dataset,am60_2p5_1664,120,115.923529411765,3.51651697366418,,,,,,,,
Magnesium Dataset,am60_2p5_1668,120,124.380281690141,3.5216849733892,,,,,,,,
ASM Dataset,C61300 M20-2,240,248.949404761905,3.59486891340992,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-250x,896,864.609154929578,3.63063991301125,,,,,,,,
Magnesium Dataset,am50_2p5_1819,109,113.130555555556,3.65114052103028,,,,,,,,
ASM Dataset,ASTM A517 Grade B QT-2,655,631.538235294118,3.71501888479577,,,,,,,,
Magnesium Dataset,am70_5p0_f_1557,127,131.915760869565,3.72643938613657,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1584,127,131.968023255814,3.76456594048065,,,,,,,,
Magnesium Dataset,am60_5p0_1653,120,115.610465116279,3.79683178275081,,,,,,,,
Magnesium Dataset,am50_5p0_1784,109,105.010563380282,3.79908124601817,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-E,896,863.015432098766,3.8220136830021,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1587,127,122.242857142857,3.89155077714152,,,,,,,,
ASM Dataset,C97600-5,140,134.75,3.8961038961039,,,,,,,,
Magnesium Dataset,am70_2p5_f_1599,127,132.163333333333,3.90678201215667,,,,,,,,
Magnesium Dataset,am50_2p5_1808,109,104.878676470588,3.92961054439654,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-2000x,896,862.066666666667,3.93627716340576,,,,,,,,
Magnesium Dataset,am40_2p5_1750,107,111.4,3.94973070017954,,,,,,,,
Magnesium Dataset,am50_2p5_1817,109,113.509615384615,3.9728928420161,,,,,,,,
Magnesium Dataset,am60_5p0_1656,120,115.387820512821,3.9971111913558,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1623,120,115.379411764706,4.00469040760662,,,,,,,,
Magnesium Dataset,am60_2p5_1688,120,115.377976190476,4.00598447132871,,,,,,,,
ASM Dataset,ASTM A216 WCA Annealed-1,230,221.014204545455,4.06570947465841,,,,,,,,
ASM Dataset,R54620-5,910,948.668367346939,4.0760679577711,,,,,,,,
Magnesium Dataset,am70_2p5_f_1610,127,132.403846153846,4.08133623819899,,,,,,,,
ASM Dataset,316L Annealed-1,190,198.097701149425,4.08773100467087,,,,,,,,
Magnesium Dataset,am60_5p0_1654,120,115.271739130435,4.1018387553041,,,,,,,,
Magnesium Dataset,am60_2p5_1659,120,125.141666666667,4.10867683292269,,,,,,,,
ASM Dataset,ASTM A537 Grade A Normalized-4,330,316.952205882353,4.11664404774333,,,,,,,,
Magnesium Dataset,am70_2p5_f_1590,127,121.974025974026,4.12052810902896,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-A,896,860.367647058824,4.14152636526793,,,,,,,,
ASM Dataset,G3000 As Cast-2,150,156.527027027027,4.16990416990417,,,,,,,,
Magnesium Dataset,am70_2p5_f_1605,127,132.635802469136,4.24908083957742,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1635,120,115.088235294118,4.26782519805775,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-D,896,936.098314606742,4.2835580388356,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1570,127,132.71484375,4.30610743193525,,,,,,,,
ASM Dataset,2618 T4-4,450,431.298780487805,4.33602420369559,,,,,,,,
Magnesium Dataset,am70_2p5_f_1609,127,132.759493670886,4.33829138062549,,,,,,,,
Magnesium Dataset,am50_2p5_1823,109,113.955223880597,4.34839554682384,,,,,,,,
Magnesium Dataset,am40_5p0_1721,107,102.475274725275,4.41543122168306,,,,,,,,
Magnesium Dataset,am40_2p5_1742,107,111.956790123457,4.42741357446104,,,,,,,,
Magnesium Dataset,am40_5p0_1717,107,112.006097560976,4.46948663509173,,,,,,,,
ASM Dataset,ASTM A537 Grade A Normalized-1,330,345.444444444444,4.47089096172403,,,,,,,,
Magnesium Dataset,am50_2p5_1811,109,114.139285714286,4.5026440126412,,,,,,,,
Magnesium Dataset,am40_2p5_1745,107,112.096428571429,4.54646828304712,,,,,,,,
ASM Dataset,309 Annealed-1,275,263.010135135135,4.55870830175591,,,,,,,,
ASM Dataset,R56210 A-1,760,726.85,4.56077595102153,,,,,,,,
Magnesium Dataset,am60_2p5_1675,120,114.755555555556,4.570100697134,,,,,,,,
Magnesium Dataset,am60_5p0_1651,120,114.752976190476,4.57245117618072,,,,,,,,
Magnesium Dataset,am40_5p0_1719,107,112.166666666667,4.60624071322437,,,,,,,,
Magnesium Dataset,am60_5p0_1648,120,114.66,4.65724751439037,,,,,,,,
ASM Dataset,7050 T73652-1,455,434.648876404494,4.68219859760235,,,,,,,,
Magnesium Dataset,am40_2p5_1763,107,112.256329113924,4.68243452766893,,,,,,,,
Magnesium Dataset,am60_5p0_1644,120,125.90625,4.6909903201787,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1572,127,133.310810810811,4.73390775468829,,,,,,,,
Magnesium Dataset,am40_2p5_1725,107,112.328947368421,4.74405528874312,,,,,,,,
ASM Dataset,C86300-2,460,439.153571428571,4.74695640151916,,,,,,,,
Magnesium Dataset,am40_2p5_1767,107,112.358823529412,4.76938380189519,,,,,,,,
Magnesium Dataset,am50_2p5_1815,109,114.464743589744,4.77417187018733,,,,,,,,
Magnesium Dataset,am40_2p5_1743,107,112.386904761905,4.7931783274191,,,,,,,,
ASM Dataset,1020 Hot Rolled-1,205,215.332191780822,4.79825691429298,,,,,,,,
ASM Dataset,2024 T6-2,345,362.425287356322,4.80796676286829,,,,,,,,
Magnesium Dataset,am60_5p0_1640,120,114.474226804124,4.82708933717579,,,,,,,,
Magnesium Dataset,am60_2p5_1673,120,126.224358974359,4.93118683662587,,,,,,,,
Magnesium Dataset,am50_2p5_1826,109,114.688356164384,4.95983755860133,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-B,896,853.643258426966,4.96187853121287,,,,,,,,
Magnesium Dataset,am40_2p5_1747,107,112.616666666667,4.98742045286369,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-500x-D,896,853.159340659341,5.02141362099501,,,,,,,,
Magnesium Dataset,am50_5p0_1787,109,103.760416666667,5.04969380584278,,,,,,,,
Magnesium Dataset,am70_5p0_f_1554,127,133.81887755102,5.0956021122062,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1583,127,133.84375,5.11323838431006,,,,,,,,
Magnesium Dataset,am40_5p0_1712,107,112.803571428571,5.14484723761279,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1627,120,114.093333333333,5.17704803085193,,,,,,,,
Magnesium Dataset,am60_5p0_1652,120,114.077464788732,5.19167849867275,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-1000x,896,851.678082191781,5.20406932325385,,,,,,,,
Magnesium Dataset,am50_2p5_1827,109,114.996835443038,5.214783015493,,,,,,,,
ASM Dataset,316 Annealed-3,230,242.654320987654,5.2149580259476,,,,,,,,
ASM Dataset,MetalTek C86300-5,415,394.36038961039,5.23369256481397,,,,,,,,
Magnesium Dataset,am60_2p5_1687,120,113.997058823529,5.26587373255244,,,,,,,,
Magnesium Dataset,am40_2p5_1730,107,112.948795180723,5.2668071148564,,,,,,,,
ASM Dataset,301 Full Hard-1,1080,1025.875,5.27598391616912,,,,,,,,
Magnesium Dataset,am40_2p5_1744,107,113.006578947368,5.31524713279386,,,,,,,,
ASM Dataset,356-0-T6-2,152,160.570512820513,5.33753842468761,,,,,,,,
Magnesium Dataset,am40_2p5_1748,107,113.090909090909,5.38585209003216,,,,,,,,
Magnesium Dataset,am40_2p5_1733,107,113.094117647059,5.38853635701654,,,,,,,,
Magnesium Dataset,am70_2p5_f_1598,127,134.267647058824,5.4128058531029,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1631,120,113.710317460317,5.53132088640726,,,,,,,,
Magnesium Dataset,am40_2p5_1759,107,113.31875,5.57608515801665,,,,,,,,
Magnesium Dataset,am50_2p5_1803,109,103.232954545455,5.58643843909956,,,,,,,,
Magnesium Dataset,am50_2p5_1818,109,115.46875,5.6021650879567,,,,,,,,
ASM Dataset,N08800 A-1,210,198.824324324324,5.62087949432475,,,,,,,,
Magnesium Dataset,am40_2p5_1737,107,113.424342105263,5.66398886343204,,,,,,,,
Magnesium Dataset,am50_2p5_1812,109,115.55,5.66854175681523,,,,,,,,
Magnesium Dataset,am40_2p5_1756,107,101.211538461538,5.71917157514725,,,,,,,,
ASM Dataset,Ti-10-2-3 Sample 1-1,1207,1141.12658227848,5.77266525419029,,,,,,,,
Magnesium Dataset,am40_2p5_1726,107,113.581168831169,5.79424291798873,,,,,,,,
Magnesium Dataset,am40_2p5_1746,107,113.584375,5.79690208270283,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-500x-E,896,846.45,5.85386023982515,,,,,,,,
ASM Dataset,6061 T651-1,276,293.184210526316,5.86123328247015,,,,,,,,
ASM Dataset,2218 T61-1,305,324.111764705882,5.89665874153796,,,,,,,,
ASM Dataset,ASTM A216 WCB Annealed-1,280,264.123563218391,6.01098841320785,,,,,,,,
